[2025-11-05 23:21:47] [Tick 9 | Q1/5] auto_p1 [PID 1] pc=0/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:20] [Tick 387 | Q2/5] p01 [PID 1] pc=326/5025 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:20] [Tick 388 | Q3/5] p01 [PID 1] pc=327/5025 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:20] [Tick 389 | Q4/5] p01 [PID 1] pc=328/5025 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:20] [Tick 390 | Q5/5] p01 [PID 1] pc=329/5025 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:20] [Tick 391 | Q1/5] p01 [PID 1] pc=330/5025 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:20] [Tick 392 | Q2/5] p01 [PID 1] pc=331/5025 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:20] [Tick 393 | Q3/5] p01 [PID 1] pc=332/5025 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 394 | Q4/5] p01 [PID 1] pc=333/5025 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:20] [Tick 395 | Q5/5] p01 [PID 1] pc=334/5025 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:20] [Tick 396 | Q1/5] p01 [PID 1] pc=335/5025 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:20] [Tick 397 | Q2/5] p01 [PID 1] pc=336/5025 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:20] [Tick 398 | Q3/5] p01 [PID 1] pc=337/5025 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:20] [Tick 399 | Q4/5] p01 [PID 1] pc=338/5025 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:20] [Tick 400 | Q5/5] p01 [PID 1] pc=339/5025 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:20] [Tick 401 | Q1/5] p01 [PID 1] pc=340/5025 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:20] [Tick 402 | Q2/5] p01 [PID 1] pc=341/5025 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:20] [Tick 403 | Q2/5] p01 [PID 1] pc=341/5026 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 404 | Q3/5] p01 [PID 1] pc=342/5026 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 405 | Q4/5] p01 [PID 1] pc=343/5026 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:20] [Tick 406 | Q5/5] p01 [PID 1] pc=344/5026 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:20] [Tick 407 | Q1/5] p01 [PID 1] pc=345/5026 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:20] [Tick 408 | Q2/5] p01 [PID 1] pc=346/5026 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:20] [Tick 409 | Q3/5] p01 [PID 1] pc=347/5026 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:20] [Tick 410 | Q4/5] p01 [PID 1] pc=348/5026 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 411 | Q5/5] p01 [PID 1] pc=349/5026 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:20] [Tick 412 | Q1/5] p01 [PID 1] pc=350/5026 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:20] [Tick 413 | Q2/5] p01 [PID 1] pc=351/5026 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 414 | Q3/5] p01 [PID 1] pc=352/5026 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:20] [Tick 415 | Q4/5] p01 [PID 1] pc=353/5026 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:20] [Tick 416 | Q5/5] p01 [PID 1] pc=354/5026 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:20] [Tick 417 | Q1/5] p01 [PID 1] pc=355/5026 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:20] [Tick 418 | Q1/5] p01 [PID 1] pc=355/5027 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 419 | Q2/5] p01 [PID 1] pc=356/5027 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 420 | Q3/5] p01 [PID 1] pc=357/5027 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:20] [Tick 421 | Q4/5] p01 [PID 1] pc=358/5027 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:20] [Tick 422 | Q5/5] p01 [PID 1] pc=359/5027 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:20] [Tick 423 | Q1/5] p01 [PID 1] pc=360/5027 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 424 | Q2/5] p01 [PID 1] pc=361/5027 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:20] [Tick 425 | Q3/5] p01 [PID 1] pc=362/5027 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:20] [Tick 426 | Q3/5] p01 [PID 1] pc=362/5028 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 427 | Q4/5] p01 [PID 1] pc=363/5028 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 428 | Q5/5] p01 [PID 1] pc=364/5028 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 429 | Q1/5] p01 [PID 1] pc=365/5028 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:20] [Tick 431 | Q2/5] p01 [PID 1] pc=366/5028 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:20] [Tick 432 | Q3/5] p01 [PID 1] pc=367/5028 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:20] [Tick 433 | Q4/5] p01 [PID 1] pc=368/5028 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:20] [Tick 434 | Q5/5] p01 [PID 1] pc=369/5028 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:20] [Tick 435 | Q1/5] p01 [PID 1] pc=370/5028 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:20] [Tick 436 | Q2/5] p01 [PID 1] pc=371/5028 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:20] [Tick 437 | Q3/5] p01 [PID 1] pc=372/5028 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:20] [Tick 438 | Q4/5] p01 [PID 1] pc=373/5028 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:20] [Tick 439 | Q4/5] p01 [PID 1] pc=373/5029 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 440 | Q5/5] p01 [PID 1] pc=374/5029 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 441 | Q1/5] p01 [PID 1] pc=375/5029 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:20] [Tick 442 | Q1/5] p01 [PID 1] pc=375/5030 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 443 | Q2/5] p01 [PID 1] pc=376/5030 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 444 | Q3/5] p01 [PID 1] pc=377/5030 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 445 | Q4/5] p01 [PID 1] pc=378/5030 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:20] [Tick 446 | Q5/5] p01 [PID 1] pc=379/5030 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:20] [Tick 447 | Q1/5] p01 [PID 1] pc=380/5030 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:21] [Tick 448 | Q2/5] p01 [PID 1] pc=381/5030 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:21] [Tick 449 | Q3/5] p01 [PID 1] pc=382/5030 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:21] [Tick 450 | Q4/5] p01 [PID 1] pc=383/5030 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:21] [Tick 451 | Q5/5] p01 [PID 1] pc=384/5030 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:21] [Tick 452 | Q1/5] p01 [PID 1] pc=385/5030 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 453 | Q1/5] p01 [PID 1] pc=385/5031 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 454 | Q2/5] p01 [PID 1] pc=386/5031 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 455 | Q3/5] p01 [PID 1] pc=387/5031 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 456 | Q3/5] p01 [PID 1] pc=387/5032 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 457 | Q4/5] p01 [PID 1] pc=388/5032 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 458 | Q5/5] p01 [PID 1] pc=389/5032 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 459 | Q5/5] p01 [PID 1] pc=389/5033 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 460 | Q1/5] p01 [PID 1] pc=390/5033 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 461 | Q2/5] p01 [PID 1] pc=391/5033 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:21] [Tick 462 | Q3/5] p01 [PID 1] pc=392/5033 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 463 | Q3/5] p01 [PID 1] pc=392/5034 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 464 | Q4/5] p01 [PID 1] pc=393/5034 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 465 | Q5/5] p01 [PID 1] pc=394/5034 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:21] [Tick 466 | Q1/5] p01 [PID 1] pc=395/5034 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:21] [Tick 467 | Q2/5] p01 [PID 1] pc=396/5034 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:21] [Tick 468 | Q3/5] p01 [PID 1] pc=397/5034 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 469 | Q4/5] p01 [PID 1] pc=398/5034 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:21] [Tick 470 | Q5/5] p01 [PID 1] pc=399/5034 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:21] [Tick 471 | Q1/5] p01 [PID 1] pc=400/5034 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:21] [Tick 472 | Q2/5] p01 [PID 1] pc=401/5034 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 473 | Q2/5] p01 [PID 1] pc=401/5035 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 474 | Q3/5] p01 [PID 1] pc=402/5035 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 475 | Q4/5] p01 [PID 1] pc=403/5035 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:21] [Tick 476 | Q5/5] p01 [PID 1] pc=404/5035 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:21] [Tick 477 | Q1/5] p01 [PID 1] pc=405/5035 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:21] [Tick 478 | Q2/5] p01 [PID 1] pc=406/5035 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:21] [Tick 479 | Q3/5] p01 [PID 1] pc=407/5035 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 480 | Q4/5] p01 [PID 1] pc=408/5035 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:21] [Tick 481 | Q5/5] p01 [PID 1] pc=409/5035 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:21] [Tick 482 | Q1/5] p01 [PID 1] pc=410/5035 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:21] [Tick 483 | Q2/5] p01 [PID 1] pc=411/5035 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 485 | Q3/5] p01 [PID 1] pc=412/5035 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:21] [Tick 486 | Q4/5] p01 [PID 1] pc=413/5035 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:21] [Tick 487 | Q5/5] p01 [PID 1] pc=414/5035 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:21] [Tick 488 | Q1/5] p01 [PID 1] pc=415/5035 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:21] [Tick 489 | Q2/5] p01 [PID 1] pc=416/5035 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:21] [Tick 490 | Q3/5] p01 [PID 1] pc=417/5035 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:21] [Tick 491 | Q4/5] p01 [PID 1] pc=418/5035 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 492 | Q4/5] p01 [PID 1] pc=418/5036 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 493 | Q5/5] p01 [PID 1] pc=419/5036 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 494 | Q1/5] p01 [PID 1] pc=420/5036 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:21] [Tick 495 | Q2/5] p01 [PID 1] pc=421/5036 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 496 | Q2/5] p01 [PID 1] pc=421/5037 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 497 | Q3/5] p01 [PID 1] pc=422/5037 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 498 | Q4/5] p01 [PID 1] pc=423/5037 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 499 | Q4/5] p01 [PID 1] pc=423/5038 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 500 | Q5/5] p01 [PID 1] pc=424/5038 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 501 | Q1/5] p01 [PID 1] pc=425/5038 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 502 | Q1/5] p01 [PID 1] pc=425/5039 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 503 | Q2/5] p01 [PID 1] pc=426/5039 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 504 | Q3/5] p01 [PID 1] pc=427/5039 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:21] [Tick 505 | Q4/5] p01 [PID 1] pc=428/5039 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:21] [Tick 506 | Q5/5] p01 [PID 1] pc=429/5039 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:21] [Tick 507 | Q1/5] p01 [PID 1] pc=430/5039 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 509 | Q2/5] p01 [PID 1] pc=431/5039 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:21] [Tick 510 | Q3/5] p01 [PID 1] pc=432/5039 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:21] [Tick 511 | Q3/5] p01 [PID 1] pc=432/5040 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 512 | Q4/5] p01 [PID 1] pc=433/5040 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 513 | Q5/5] p01 [PID 1] pc=434/5040 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 514 | Q5/5] p01 [PID 1] pc=434/5041 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 515 | Q1/5] p01 [PID 1] pc=435/5041 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 516 | Q2/5] p01 [PID 1] pc=436/5041 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:22] [Tick 517 | Q3/5] p01 [PID 1] pc=437/5041 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:22] [Tick 518 | Q4/5] p01 [PID 1] pc=438/5041 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 520 | Q5/5] p01 [PID 1] pc=439/5041 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:22] [Tick 521 | Q1/5] p01 [PID 1] pc=440/5041 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 522 | Q2/5] p01 [PID 1] pc=441/5041 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:22] [Tick 523 | Q3/5] p01 [PID 1] pc=442/5041 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 524 | Q3/5] p01 [PID 1] pc=442/5042 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 525 | Q4/5] p01 [PID 1] pc=443/5042 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 526 | Q5/5] p01 [PID 1] pc=444/5042 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:22] [Tick 527 | Q1/5] p01 [PID 1] pc=445/5042 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:22] [Tick 528 | Q2/5] p01 [PID 1] pc=446/5042 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 530 | Q3/5] p01 [PID 1] pc=447/5042 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:22] [Tick 531 | Q4/5] p01 [PID 1] pc=448/5042 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 532 | Q5/5] p01 [PID 1] pc=449/5042 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:22] [Tick 533 | Q1/5] p01 [PID 1] pc=450/5042 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:22] [Tick 534 | Q2/5] p01 [PID 1] pc=451/5042 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:22] [Tick 535 | Q3/5] p01 [PID 1] pc=452/5042 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 536 | Q3/5] p01 [PID 1] pc=452/5043 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 537 | Q4/5] p01 [PID 1] pc=453/5043 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 538 | Q5/5] p01 [PID 1] pc=454/5043 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:22] [Tick 539 | Q1/5] p01 [PID 1] pc=455/5043 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 541 | Q2/5] p01 [PID 1] pc=456/5043 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:22] [Tick 542 | Q3/5] p01 [PID 1] pc=457/5043 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 543 | Q3/5] p01 [PID 1] pc=457/5044 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 544 | Q4/5] p01 [PID 1] pc=458/5044 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 545 | Q5/5] p01 [PID 1] pc=459/5044 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 547 | Q1/5] p01 [PID 1] pc=460/5044 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:22] [Tick 548 | Q2/5] p01 [PID 1] pc=461/5044 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 550 | Q3/5] p01 [PID 1] pc=462/5044 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 551 | Q3/5] p01 [PID 1] pc=462/5045 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 552 | Q4/5] p01 [PID 1] pc=463/5045 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 553 | Q5/5] p01 [PID 1] pc=464/5045 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:22] [Tick 554 | Q1/5] p01 [PID 1] pc=465/5045 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 555 | Q2/5] p01 [PID 1] pc=466/5045 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:22] [Tick 556 | Q3/5] p01 [PID 1] pc=467/5045 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 557 | Q4/5] p01 [PID 1] pc=468/5045 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:22] [Tick 558 | Q5/5] p01 [PID 1] pc=469/5045 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 559 | Q5/5] p01 [PID 1] pc=469/5046 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 560 | Q1/5] p01 [PID 1] pc=470/5046 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 561 | Q2/5] p01 [PID 1] pc=471/5046 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:22] [Tick 562 | Q3/5] p01 [PID 1] pc=472/5046 -> ADD(sum, x, y) | State=RUNNING
[2025-11-28 00:44:22] [Tick 563 | Q4/5] p01 [PID 1] pc=473/5046 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:22] [Tick 564 | Q5/5] p01 [PID 1] pc=474/5046 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:22] [Tick 565 | Q1/5] p01 [PID 1] pc=475/5046 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 566 | Q1/5] p01 [PID 1] pc=475/5047 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 567 | Q2/5] p01 [PID 1] pc=476/5047 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 568 | Q3/5] p01 [PID 1] pc=477/5047 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 570 | Q4/5] p01 [PID 1] pc=478/5047 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:22] [Tick 572 | Q5/5] p01 [PID 1] pc=479/5047 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:22] [Tick 573 | Q1/5] p01 [PID 1] pc=480/5047 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:22] [Tick 574 | Q2/5] p01 [PID 1] pc=481/5047 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:23] [Tick 576 | Q3/5] p01 [PID 1] pc=482/5047 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:23] [Tick 577 | Q3/5] p01 [PID 1] pc=482/5048 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:23] [Tick 578 | Q4/5] p01 [PID 1] pc=483/5048 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:23] [Tick 579 | Q5/5] p01 [PID 1] pc=484/5048 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:23] [Tick 581 | Q1/5] p01 [PID 1] pc=485/5048 -> DECLARE(y, 10) | State=RUNNING
[2025-11-28 00:44:23] [Tick 582 | Q2/5] p01 [PID 1] pc=486/5048 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:23] [Tick 583 | Q3/5] p01 [PID 1] pc=487/5048 -> DECLARE(x, 5) | State=RUNNING
[2025-11-28 00:44:23] [Tick 584 | Q4/5] p01 [PID 1] pc=488/5048 -> SLEEP(2) | State=RUNNING
[2025-11-28 00:44:23] [Tick 586 | Q5/5] p01 [PID 1] pc=489/5048 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:23] [Tick 587 | Q5/5] p01 [PID 1] pc=489/5049 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:23] [Tick 588 | Q1/5] p01 [PID 1] pc=490/5049 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:23] [Tick 589 | Q2/5] p01 [PID 1] pc=491/5049 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:23] [Tick 590 | Q3/5] p01 [PID 1] pc=492/5049 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:23] [Tick 591 | Q3/5] p01 [PID 1] pc=492/5050 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:23] [Tick 592 | Q4/5] p01 [PID 1] pc=493/5050 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:23] [Tick 593 | Q5/5] p01 [PID 1] pc=494/5050 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:23] [Tick 594 | Q1/5] p01 [PID 1] pc=495/5050 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-28 00:44:23] [Tick 595 | Q1/5] p01 [PID 1] pc=495/5051 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:23] [Tick 596 | Q2/5] p01 [PID 1] pc=496/5051 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:23] [Tick 597 | Q3/5] p01 [PID 1] pc=497/5051 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:23] [Tick 598 | Q4/5] p01 [PID 1] pc=498/5051 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-28 00:44:23] [Tick 599 | Q5/5] p01 [PID 1] pc=499/5051 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-28 00:44:23] [Tick 600 | Q1/5] p01 [PID 1] pc=500/5051 -> PRINT('Hello world!') | State=RUNNING
[2025-11-28 00:44:23] [Tick 601 | Q2/5] p01 [PID 1] pc=501/5051 -> DECLARE(y, 10) | State=RUNNING
